zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
72303866,CO,Colorado,"212 Copper Rim Trail Unit B, Durango, CO 81301",212 Copper Rim Trail Unit B,Durango,81301,724900,"$724,900",3,3,2221,37.316772,-107.784096,House for sale,SINGLE_FAMILY,119,713900,https://www.zillow.com/homedetails/212-Copper-Rim-Trl-UNIT-B-Durango-CO-81301/72303866_zpid/,FALSE,NA,FALSE,CO
12972739,CO,Colorado,"2301 E 96th Way, Thornton, CO 80229",2301 E 96th Way,Thornton,80229,440000,"$440,000",3,2,1451,39.8724,-104.95803,House for sale,SINGLE_FAMILY,1,437000,https://www.zillow.com/homedetails/2301-E-96th-Way-Thornton-CO-80229/12972739_zpid/,FALSE,NA,FALSE,CO
13137023,CO,Colorado,"7115 S Birch Way, Centennial, CO 80122",7115 S Birch Way,Centennial,80122,520000,"$520,000",5,2,2214,39.587578,-104.938675,House for sale,SINGLE_FAMILY,4,515500,https://www.zillow.com/homedetails/7115-S-Birch-Way-Centennial-CO-80122/13137023_zpid/,FALSE,NA,FALSE,CO
13439911,CO,Colorado,"2276 Indian Paintbrush Drive, Highlands Ranch, CO 80129",2276 Indian Paintbrush Drive,Highlands Ranch,80129,1095000,"$1,095,000",5,5,4707,39.54696,-105.01637,Coming soon,SINGLE_FAMILY,3,1025700,https://www.zillow.com/homedetails/2276-Indian-Paintbrush-Dr-Highlands-Ranch-CO-80129/13439911_zpid/,FALSE,NA,FALSE,CO
13159108,CO,Colorado,"6691 S Wellington Court, Centennial, CO 80121",6691 S Wellington Court,Centennial,80121,475000,"$475,000",4,2,2184,39.595375,-104.97731,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/6691-S-Wellington-Ct-Centennial-CO-80121/13159108_zpid/,FALSE,NA,FALSE,CO
295031692,CO,Colorado,"26368 E 3rd Avenue, Aurora, CO 80018",26368 E 3rd Avenue,Aurora,80018,575000,"$575,000",3,3,3456,39.721542,-104.679825,House for sale,SINGLE_FAMILY,4,NA,https://www.zillow.com/homedetails/26368-E-3rd-Ave-Aurora-CO-80018/295031692_zpid/,FALSE,NA,FALSE,CO
13281816,CO,Colorado,"2634 Ivanhoe Street, Denver, CO 80207",2634 Ivanhoe Street,Denver,80207,750000,"$750,000",4,2,2096,39.755424,-104.92085,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/2634-Ivanhoe-St-Denver-CO-80207/13281816_zpid/,FALSE,NA,FALSE,CO
13857041,CO,Colorado,"810 Larkspur Rd, Estes Park, CO 80517",810 Larkspur Rd,Estes Park,80517,500000,"$500,000",3,2,1192,40.366467,-105.55041,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/810-Larkspur-Rd-Estes-Park-CO-80517/13857041_zpid/,FALSE,NA,FALSE,CO
13234884,CO,Colorado,"896 Welsh Ct, Louisville, CO 80027",896 Welsh Ct,Louisville,80027,950000,"$950,000",4,4,2420,39.97858,-105.14786,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/896-Welsh-Ct-Louisville-CO-80027/13234884_zpid/,FALSE,NA,FALSE,CO
338030364,CO,Colorado,"1004 Tree Bark Ter, Monument, CO 80132",1004 Tree Bark Ter,Monument,80132,1225000,"$1,225,000",5,4,3772,39.063248,-104.80965,House for sale,SINGLE_FAMILY,8,NA,https://www.zillow.com/homedetails/1004-Tree-Bark-Ter-Monument-CO-80132/338030364_zpid/,FALSE,NA,FALSE,CO
